#PROG: Sep 19 2016, 10:15:58
#RTC: 2016/9/19-10:15:27,
#StatsDelayMs=10000,EdiskDelayMs=1500000,NClickTimes=5,LedsThresh=[30,70,150,350,800,]
#StatsETA=4146,EdiskETA=1494146,isRec=1,clicks=0,maxCPM=0,EDISK_nextIx=301,
#  clickTimes=[5854,5854,5854,5854,5854,]
clicks,maxCPM
1474292899,1,16
1474292909,4,29
1474292919,4,39
1474292929,2,47
1474292939,3,19
1474292949,6,80
1474292959,5,49
1474292969,4,65
1474292979,5,41
1474292989,6,43
1474292999,4,43
1474293009,3,32
1474293019,6,83
1474293029,9,129
1474293039,6,75
1474293049,5,69
1474293059,7,76
1474293069,7,89
1474293079,8,98
1474293089,6,95
1474293099,4,47
1474293109,6,65
1474293119,3,44
1474293129,6,109
1474293139,5,56
1474293149,9,102
1474293159,12,112
1474293169,6,110
1474293179,5,41
1474293189,6,66
1474293199,8,89
1474293209,9,85
1474293219,9,92
1474293229,9,179
1474293239,5,67
1474293249,3,28
1474293259,6,55
1474293269,11,94
1474293279,7,127
1474293289,6,42
1474293299,9,131
1474293309,7,70
1474293319,3,38
1474293329,7,70
1474293339,8,98
1474293349,8,120
1474293359,7,165
1474293369,4,73
1474293379,7,72
1474293389,6,78
1474293399,11,142
1474293409,4,167
1474293419,4,49
1474293429,5,64
1474293439,7,65
1474293449,4,34
1474293459,2,29
1474293470,5,67
1474293480,8,64
1474293490,8,103
1474293500,6,54
1474293510,5,55
1474293520,4,35
1474293530,5,48
1474293540,4,39
1474293550,6,56
1474293560,4,62
1474293570,5,47
1474293580,12,130
1474293590,4,57
1474293600,7,105
1474293610,5,146
1474293620,8,182
1474293630,13,116
#Long loop: REC=1
1474293640,3,78
1474293650,9,357
1474293660,6,59
1474293670,6,54
1474293680,7,134
1474293690,6,66
1474293700,3,63
1474293710,7,139
1474293720,3,39
1474293730,6,55
1474293740,3,39
1474293750,4,32
1474293760,2,21
1474293770,4,27
1474293780,8,66
1474293790,5,75
1474293800,4,42
1474293810,5,64
1474293820,8,100
1474293830,5,61
1474293840,7,110
1474293850,7,66
1474293860,3,58
1474293870,2,24
1474293880,7,64
1474293890,4,52
1474293900,3,41
1474293910,6,52
1474293920,12,141
1474293930,3,111
1474293940,12,112
1474293950,4,75
1474293960,8,329
1474293970,4,62
1474293980,5,40
1474293990,2,42
1474294000,2,23
1474294010,5,30
1474294020,5,48
1474294030,4,56
1474294040,6,46
1474294050,3,51
1474294060,5,57
1474294070,6,61
1474294080,6,60
1474294090,6,58
1474294100,1,31
1474294110,3,18
1474294120,6,151
1474294130,8,185
1474294140,7,72
1474294150,6,71
1474294160,4,40
1474294170,9,84
1474294180,11,147
1474294190,7,112
1474294200,6,88
1474294210,4,40
1474294220,5,36
1474294230,5,65
1474294240,9,210
1474294250,5,175
1474294260,3,44
1474294270,4,33
1474294280,2,26
1474294290,5,53
1474294300,8,153
1474294310,4,33
1474294320,4,37
1474294330,7,86
